Property Name,Property Address [1],Property  Address [2],Property Address [3],Property Address [4],Unit Name,Tenant Name,Lease Start Date,Lease End Date,Lease Years,Current Rent
Beecroft Hill,Broad Lane,,,LS13,Beecroft Hill - Telecom App,Arqiva Services ltd,01-Mar-94,28-Feb-58,64,23950
Potternewton Crescent,Potternewton Est Playing Field,,,LS7,Potternewton Est Playing Field,Arqiva Ltd,24-Jun-99,23-Jun-19,20,6600
Seacroft Gate (Chase) - Block 2,Telecomms Apparatus,Leeds,,LS14,Seacroft Gate (Chase) block 2-Telecom App.,Vodafone Ltd.,30-Jan-04,29-Jan-29,25,12250
Queenswood Heights,Queenswood Heights,Queenswood Gardens,Headingley,Leeds,Queenswood Hgt-Telecom App.,Vodafone Ltd,08-Nov-04,07-Nov-29,25,9500
Armley - Burnsall Grange,Armley,LS13,,,Burnsall Grange CSR 37865,O2 (UK) Ltd,26-Jul-07,25-Jul-32,25,12000
Seacroft Gate (Chase) - Block 2,Telecomms Apparatus,Leeds,,LS14,"Seacroft Gate (Chase) - Block 2, WYK 0414",Hutchinson3G Uk Ltd&Everything Everywhere Ltd,21-Aug-07,20-Aug-32,25,12750
Cottingley Towers,Leeds,,,LS11,Cottingley Towers-WYK0052,Everything Everywhere Ltd,28-Jan-08,27-Jan-18,10,12750
Potternewton Heights - Tel App,Potternewton Heights,Potternewton Lne,Leeds,,Potternewton Heights,Everything Everywhere Ltd,04-Mar-08,03-Mar-18,10,12750
Gipton Gate West,Leeds,,,LS9,Gipton Gate West-WYK0021,Everything Everywhere Ltd & Hutchinson 3G UK,01-Apr-08,31-Mar-18,10,12750
Theaker Lane,Burnsall Grange,Leeds,,LS12,Burnsall Grange - WYK0144,Everything Everywhere Ltd,29-Apr-08,28-Apr-18,10,12750
Gledhow Towers - Telecom App,Brackenwood Drive,Leeds,,,Gledhow Towers - WYK0188,Everything Everywhere Ltd & Hutchinson 3G UK,20-May-08,19-May-18,10,12750
Lovell Park Heights,Yeb,,,LS7,Lovell Park Heights-- WYK0207,Everything Everywhere Ltd,17-Jun-08,16-Jun-18,10,12750
Shakespeare Towers,,,,LS9,Shakespeare Towers ref 1704255985,EverythingEverywhere Ltd & Hutchinson3GUK Ltd,10-Jun-09,09-Jun-19,10,12750
Grayson Heights,Eden Mount,Burley Park,Leeds,LS5,Grayson Heights LDS175   LS0029,Everything Everywhere Ltd&Hutchison 3G UK Ltd,01-Aug-09,31-Jul-19,10,14730.08
Oatland Towers,Little London,,Leeds,,Oatland Towers LDS133   99603,Everything Everywhere Ltd&Hutchison 3G UK Ltd,01-Aug-09,31-Jul-19,10,15296.63
The Heights East,Gamble Hill,Bramley,Leeds 12,,The Heights East LDS045   55032,Everything Everywhere Ltd&Hutchison 3G UK Ltd,01-Aug-09,31-Jul-19,10,14730.08
The Heights,Farrow Bank Gamble Hill,Leeds,,,Raynville Court LDS047   55035,Everything Everywhere Ltd&Hutchison 3G UK LTd,01-Aug-09,31-Jul-19,10,14730.08
Barncroft Towers,Seacroft,Yeb Ref 10462,,LS14,Barncroft Towers - Site Ref LDS138   99632,Everything Everywhere Ltd&Hutchison 3G UK Ltd,01-Aug-09,31-Jul-19,10,14730.08
Queens View,Seacroft,,,LS14,Queens View LDS232   LS0098,Everything Everywhere Ltd&Hutchison 3G UK Ltd,01-Aug-09,31-Jul-19,10,28327.09
Parkway Grange,Foundry Lane,Leeds,,LS14,Parkway Grange - Site Ref LDS134   99604,Everything Everywhere Ltd&Hutchsion 3G UK Ltd,01-Aug-09,31-Jul-19,10,14730.08
Seacroft Gate Block 1,Eastdean,Leeds,,,Seacroft Gate Block 1 LDS032   55007,Everything Everywhere Ltd&Hutchison 3G UK Ltd,01-Aug-09,31-Jul-19,10,14730.08
Cartmell Drive,Halton Moor,Leeds,,LS15,Lakeland Court Flats Cell LDS142   99925,Everything Everywhere Ltd&Hutchison 3G UK Ltd,01-Aug-09,31-Jul-19,10,14730.08
Norman Towers (Telecom Appar),Spen Lane,Leeds,,LS16,Norman Towers LDS132 (Telecom Appar)   99448,Everything Everywhere Ltd&Hutchsion 3G Ltd,01-Aug-09,31-Jul-19,10,14730.08
Clayton Court,Fillingfir Drive,,Leeds,LS18,Clayton Court LDS198   LS0056,Everything Everywhere Ltd & Hutchison 3G Ltd,01-Aug-09,31-Jul-19,10,15296.63
Meynell Heights,,,,LS11,Meynell Heights- Wyk0184,Everything Everywhere Ltd & Hutchinson 3G UK,03-Aug-09,02-Aug-19,10,12750
Larkhill Road,Lidgett Towers,Larkhill Road,Leeds,,Lidgett Towers - Site ref 27874,Everything Everywhere Ltd&Hutchison 3G UK Ltd,05-Jul-10,04-Jul-20,10,13000
Marlborough Towers,Marlborough Towers,Park Lane,Leeds,,Marlborough Towers-Telecom App 7942vf,Cornerstone Telecommunications Infrastructure,31-Mar-15,30-Mar-30,15,15000
Queenswood Drive - Telecom Site,Headingley,Leeds,LS6,,Queenswood Drive-Q'wood Ct building 19089o2,Cornerstone Telecommunications Infrastructure,31-Mar-15,30-Mar-30,15,15000
Clayton Court,Fillingfir,,Leeds,,Clayton Court 11279vf,Cornerstone Telecommunications Infrastructure,31-Mar-15,30-Mar-30,15,15000
Gledhow Towers - Telecom App,Brackenwood Drive,Leeds,,,Gledhow Towers - Telecom App (34909vf),Cornerstone Telecommunications Infrastructure,31-Mar-15,30-Mar-30,15,15000
Larkhill Road,Lidgett Towers,Larkhill Road,Leeds,,Lidgett Towers - Telecom App 3420vf,Cornerstone Telecommunications Infrastructure,31-Mar-15,30-Mar-30,15,15000
Gipton Gate East,Oaktree Drive,,,,Gipton Gate East 23201vf,Cornerstone Telecommunications Infrastructure,31-Mar-15,30-Mar-30,15,15000
The Heights East,Armley,Leeds,,LS12,The Heights East- 4797o2,Cornerstone Telecommunications Infrastructure,31-Mar-15,30-Mar-30,15,15000
Burnsall Gardens,Theaker Lane,,,,Burnsall Gardens - Cell No 23144vf,Cornerstone Telecommunications Infrastructure,31-Mar-15,30-Mar-30,15,17000
Poplar Mount,Armley,,,LS13,Poplar Mount Telecom Site 34884vf,Cornerstone Telecommunications Infrastructure,31-Mar-15,30-Mar-30,15,15000
Barncroft Court,Seacroft,Yeb Ref 10463,,LS14,Barncroft Court 34196o2,Cornerstone Telecommunications Infrastructure,31-Mar-15,30-Mar-30,15,15000
Barncroft Grange,Boggart Hill Drive,Seacroft,Leeds,LS14,Barncroft Grange Site 10639vf,Cornerstone Telecommunications Infrastructure,31-Mar-15,30-Mar-30,15,17000
Bailey Lane,Baileys Lane,Leeds,,,"Baileys Towers, Bailey Lane Ref 33420o2",Cornerstone Telecommunications Infrastructure,31-Mar-15,30-Mar-30,15,15000
Sherburn Court,Mill Green,,Leeds,,Sherburn Court CSR 16878o2,Cornerstone Telecommunications Infrastructure,31-Mar-15,30-Mar-30,15,15000
Cartmell Drive,Halton Moor,Leeds,,LS15,Lakeland Court Cell No 35649o2,Cornerstone Telecommunications Infrastructure,31-Mar-15,30-Mar-30,15,15000
Norman Towers (Telecom Appar),Spen Lane,Leeds,,LS16,Norman Towers (Telecom Appar) 1701o2,Cornerstone Telecommunications Infrastructure,31-Mar-15,30-Mar-30,15,22500
King Lane,Leafield Towers,Leeds,,LS16,Leafield Towers - Cell 5516vf,Cornerstone Telecommunications Infrastructure,31-Mar-15,30-Mar-30,15,15000
